Name,R_Gal,e_Rm,e_Rp,Te,e_Te
G045.070+0.133,6.126898338366658,0.12080405086495372,0.14193527693451902,8100.0,1000.0
G046.495-0.252,6.170947517774505,0.09490759802981241,0.11683779506264536,5600.0,1200.0
G048.594+0.043,7.3897436225469395,0.24361286317555564,0.2780007033853007,7300.0,700.0
G048.605+0.026,8.137869770946782,0.35917674534437083,0.3808645960841819,6800.0,1000.0
G048.914-0.285,6.181215845435519,0.022304693225891015,0.08420559594219856,6600.0,400.0
G048.984-0.297,6.19172501303658,0.011662966938883024,0.04352718906681119,7900.0,1100.0
G049.487-0.380,6.234805767430562,0.0029398557678899095,0.011019615974432462,6800.0,300.0
G049.490-0.369,6.237609844225587,0.11663124552218829,0.39642984950186655,11200.0,600.0
G049.460-0.354,6.232074707259905,0.009873387869258288,0.036418922457738034,7200.0,400.0
G049.370-0.302,6.223559534776044,0.009841212203336447,0.03599149912603217,8400.0,400.0
G049.205-0.342,6.208600671100983,0.022803313588123153,0.0808036920336841,10600.0,600.0
G049.477-0.329,6.233921539226114,0.02247067898992494,0.082164522525213,10500.0,1300.0
G049.585-0.385,6.244043117071617,0.02291966581222038,0.08564209888216556,5900.0,600.0
G049.079-0.375,6.200300477476823,0.012297093239717505,0.04320794268181416,6400.0,500.0
G049.440-0.459,6.230531905201689,0.022097515412827562,0.07861904255470442,4500.0,400.0
G051.365-0.012,6.405990555197,0.02377230976314859,0.08831851909156008,8500.0,1100.0
G052.752+0.335,8.184173168514373,0.5533295224249928,0.620970277737289,7800.0,1500.0
G053.185+0.160,8.68493995113672,0.6538814413947378,0.7042061205088359,7100.0,900.0
G059.800+0.231,8.220448130626574,0.2636130003807411,0.3002456294600062,8600.0,1400.0
G000.666-00.036,0.6168661287312817,0.46237410121194034,0.668481122784605,8170.0,180.0
G005.900-00.431,5.235000881436067,0.1778288623053932,0.1832554794491239,11130.0,170.0
G010.596-00.381,3.528833907649288,0.4480768281496319,0.45526062575967075,5704.0,72.0
G012.804-00.207,5.476422307942378,0.3096761987072423,0.3071951553341705,7620.0,100.0
G015.097-00.729,6.347301991777868,0.12131074629769145,0.12121164356982916,5720.0,60.0
G016.993+00.873,5.964972944786711,0.23380491627370503,0.23521609202391147,6890.0,60.0
G017.928-00.677,5.467170032089706,0.3290459922044535,0.3247979808241137,6269.0,877.0
G018.144-00.281,4.5719711457804175,0.26739969244088435,0.2802344803075023,7180.0,70.0
G018.584+00.344,7.087270711574795,0.3756869223592716,0.3800651079653612,5712.0,645.0
G018.669+01.965,5.959781024705637,0.22565926041600903,0.22339898350702825,7210.0,60.0
G019.064-00.282,4.258188287657548,0.2591338478606753,0.2693526244875839,5440.0,70.0
G019.677-00.134,4.810280040626679,0.30715547330114745,0.3353450562404685,6141.0,429.0
